List Of All Solo,,,,,,,,,
,,,,,,,,,
Nr,Map,Time,Players,Hero,Area,New Better time or its duplicit,Accepted,Comments,Dates
298,PPI,2.33,aesir,Mirage,29,FALSE,TRUE,,1.aug.20
299,PPP,2.09,☺♣○•♣♥☻♦♠◘,Mirage,31,FALSE,TRUE,2.09 added 0.001,19.aug.20
300,FF,9.52,ChaChaMil,Chrono,41,FALSE,FALSE,C,9.aug.20
301,FF,10.16,AWEN,Cent,41,FALSE,TRUE,,02.jūn.20
302,FF,11.07,Jackal,Reaper,41,FALSE,TRUE,,11.jūl.20
303,FF,12.24,R0YqL,Cent,41,TRUE,TRUE,,13.aug.20
304,FF,14.11,JuanJoyaBorja,Cent,41,FALSE,TRUE,,28.feb.19
305,FF,14.32,⚝Simba⚝,Magmax,41,FALSE,FALSE,,09.apr.20
306,CC,5.30,Darklight,Candy,41,FALSE,TRUE,,02.nov.20
307,PPI,3.35,yIzaac😎👌,Jolt,29,FALSE,TRUE,,02.nov.20
308,PPI,2.19,Smiley,Candy,29,TRUE,TRUE,,02.nov.20
309,PPP,2.14,Smiley,Candy,31,TRUE,TRUE,,02.nov.20
310,CC,5.13,Smiley,Candy,41,TRUE,TRUE,,02.nov.20
311,HH,13.22,Maikri,Mirage,81,FALSE,FALSE,,02.nov.20
312,PPI,2.49,Jackal,Reaper,29,FALSE,TRUE,,02.nov.20
313,MM,15.41,thiccsucc,Rameses,121,FALSE,TRUE,Fixed cause past idk,03.nov.20
314,VV,5.05,Smiley,Shade,41,TRUE,TRUE,,03.nov.20
315,VV,5.22,Jayyyyyyyyyyyyyy,Shade,41,FALSE,TRUE,,03.nov.20
316,PPI,2.24,Jackal,Candy,29,TRUE,TRUE,,03.nov.20
317,PPI,2.24,asdfasdfasdf1234,Mirage,29,FALSE,TRUE,,03.nov.20
318,PPI,2.15,Jackal,Candy,29,TRUE,TRUE,,03.nov.20
319,VV,4.39,asdfasdfasdf1234,Candy,41,FALSE,TRUE,ok,03.nov.20
320,VV,5.32,Darklight,Brute,41,FALSE,TRUE,,12.oct.20
321,HaHa,2.42,Jayyyyyyyyyyyyyy,Shade,16,FALSE,TRUE,,04.nov.20
322,HaHa,2.38,Maikri,Shade,16,FALSE,FALSE,,04.nov.20
